doi,publisher,title,journal
10.1002/admi.202400208,Wiley,Formation of a Boron‐Oxide Termination for the (100) Diamond Surface,Advanced Materials Interfaces
10.1002/admi.202400242,Wiley,Methods for Color Center Preserving Hydrogen‐Termination of Diamond,Advanced Materials Interfaces
10.1002/ctpp.202200095,Wiley,Implementation of AI/DEEP learning disruption predictor into a plasma control system,Contributions to Plasma Physics
10.1002/ctpp.202300105,Wiley,Self‐consistent transport simulation of boron dust particle injection in the peripheral plasma in Large Helical Device,Contributions to Plasma Physics
10.1002/ppap.202300155,Wiley,Evidence of plasma‐driven decomposition of common plastics exposed to an atmospheric nonthermal discharge,Plasma Processes and Polymers
10.1016/j.corsci.2022.110202,Elsevier BV,Corrosion characteristics of Mo and TZM alloy for plasma facing components in molten lithium at 623 K,Corrosion Science
10.1016/j.cpc.2023.109013,Elsevier BV,EUTERPE: A global gyrokinetic code for stellarator geometry,Computer Physics Communications
10.1016/j.diamond.2024.111577,Elsevier BV,Quantum chemistry model of surface reactions and kinetic model of diamond growth: Effects of CH3 radicals and C2H2 molecules at low-temperatures CVD,Diamond and Related Materials
10.1016/j.eswa.2024.125204,Elsevier BV,Model-free stabilization via Extremum Seeking using a cost neural estimator,Expert Systems with Applications
10.1016/j.fusengdes.2024.114520,Elsevier BV,Development of a scintillator based fast-ion loss detector for the Wendelstein 7-X stellarator,Fusion Engineering and Design
10.1016/j.jcp.2024.113287,Elsevier BV,Cost-efficient finite-volume high-order schemes for compressible magnetohydrodynamics,Journal of Computational Physics
10.1016/j.nme.2024.101724,Elsevier BV,"Boron powder injection experiments in WEST with a fully actively cooled, ITER grade, tungsten divertor",Nuclear Materials and Energy
10.1016/j.nme.2024.101726,Elsevier BV,Utilization of boron particulate wall conditioning in the full tungsten environment of WEST,Nuclear Materials and Energy
10.1016/j.nme.2024.101737,Elsevier BV,Lithium vapor cave design considerations,Nuclear Materials and Energy
10.1016/j.proci.2024.105353,Elsevier BV,Kinetics of low temperature plasma assisted NH3/H2 oxidation in a nanosecond-pulsed discharge,Proceedings of the Combustion Institute
10.1016/j.proci.2024.105659,Elsevier BV,Numerical modeling of plasma assisted deflagration to detonation transition in a microscale channel,Proceedings of the Combustion Institute
10.1017/s0022377823000429,Cambridge University Press (CUP),"Microphysically modified magnetosonic modes in collisionless, high-β plasmas",Journal of Plasma Physics
10.1017/s0022377823000478,Cambridge University Press (CUP),Isolation and phase-space energization analysis of the instabilities in collisionless shocks,Journal of Plasma Physics
10.1017/s0022377823000922,Cambridge University Press (CUP),Fast correlation heating in moderately coupled electron–ion plasmas,Journal of Plasma Physics
10.1017/s0022377823001095,Cambridge University Press (CUP),Fast-ion transport in quasisymmetric equilibria in the presence of a resonant Alfvénic perturbation,Journal of Plasma Physics
10.1017/s0022377823001435,Cambridge University Press (CUP),"On hydromagnetic wave interactions in collisionless, high-<i>β</i>plasmas",Journal of Plasma Physics
10.1017/s0022377824000060,Cambridge University Press (CUP),A two-dimensional numerical study of ion-acoustic turbulence,Journal of Plasma Physics
10.1017/s0022377824000151,Cambridge University Press (CUP),Magnetic fields with general omnigenity,Journal of Plasma Physics
